"Air_Force_Blue_Raf",
"Air_Force_Blue_Usaf",
"Air_Superiority_Blue",
"Alabama_Crimson",
"Alice_Blue",
"Alizarin_Crimson",
"Alloy_Orange",
"Almond",
"Amaranth",
"Amber",
"Amber_SaeEce",
"American_Rose",
"Amethyst",
"Android_Green",
"Anti-Flash_White",
"Antique_Brass",
"Antique_Fuchsia",
"Antique_Ruby",
"Antique_White",
"Ao_English",
"Apple_Green",
"Apricot",
"Aqua",
"Aquamarine",
"Army_Green",
"Arsenic",
"Arylide_Yellow",
"Ash_Grey",
"Asparagus",
"Atomic_Tangerine",
"Auburn",
"Aureolin",
"Aurometalsaurus",
"Avocado",
"Azure",
"Azure_MistWeb",
"Baby_Blue",
"Baby_Blue_Eyes",
"Baby_Pink",
"Ball_Blue",
"Banana_Mania",
"Banana_Yellow",
"Barn_Red",
"Battleship_Grey",
"Bazaar",
"Beau_Blue",
"Beaver",
"Beige",
"Big_Dip_ORuby",
"Bisque",
"Bistre",
"Bittersweet",
"Bittersweet_Shimmer",
"Black",
"Black_Bean",
"Black_Leather_Jacket",
"Black_Olive",
"Blanched_Almond",
"Blast-Off_Bronze",
"Bleu_De_France",
"Blizzard_Blue",
"Blond",
"Blue",
"Blue_Bell",
"Blue_Crayola",
"Blue_Gray",
"Blue-Green",
"Blue_Munsell",
"Blue_Ncs",
"Blue_Pigment",
"Blue_Ryb",
"Blue_Sapphire",
"Blue-Violet",
"Blush",
"Bole",
"Bondi_Blue",
"Bone",
"Boston_University_Red",
"Bottle_Green",
"Boysenberry",
"Brandeis_Blue",
"Brass",
"Brick_Red",
"Bright_Cerulean",
"Bright_Green",
"Bright_Lavender",
"Bright_Maroon",
"Bright_Pink",
"Bright_Turquoise",
"Bright_Ube",
"Brilliant_Lavender",
"Brilliant_Rose",
"Brink_Pink",
"British_Racing_Green",
"Bronze",
"Brown_Traditional",
"Brown_Web",
"Bubble_Gum",
"Bubbles",
"Buff",
"Bulgarian_Rose",
"Burgundy",
"Burlywood",
"Burnt_Orange",
"Burnt_Sienna",
"Burnt_Umber",
"Byzantine",
"Byzantium",
"Cadet",
"Cadet_Blue",
"Cadet_Grey",
"Cadmium_Green",
"Cadmium_Orange",
"Cadmium_Red",
"Cadmium_Yellow",
