Model,Purpose
"`Nemotron-Nano-9B-v2 <https://build.nvidia.com/nvidia/nvidia-nemotron-nano-9b-v2>`_","LLM for reasoning and report generation"
"`Cosmos3-Nano-Reasoner <https://build.nvidia.com/nvidia/cosmos3-nano-reasoner>`_","VLM for video understanding"
